epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy;validation_accuracy_value
0;1578386049.6071022;1578386306.0115445;Model1475000;0;5.849589824676514;5.599264144897461;0.2503302991390228;0.2951900064945221;0.5546975135803223;5.816117763519287;5.592875003814697;0.22324460744857788;0.3012700080871582;0.6473885178565979
1;1578386307.730408;1578386556.0005362;Model1475000;0;5.846780300140381;5.597814083099365;0.2489592283964157;0.2964699864387512;0.5551170706748962;5.814713001251221;5.591752052307129;0.22296302020549774;0.30226001143455505;0.6482377052307129
2;1578386557.7343729;1578386804.7001922;Model1475000;0;5.844364643096924;5.596514701843262;0.24784643948078156;0.29798999428749084;0.5551370978355408;5.813957214355469;5.5910773277282715;0.22288042306900024;0.3030700087547302;0.6486273407936096
3;1578386806.3588226;1578387057.7483134;Model1484000;0;5.8406243324279785;5.599781036376953;0.24084895849227905;0.29440000653266907;0.5934602618217468;5.8124237060546875;5.5901360511779785;0.22229142487049103;0.3038400113582611;0.6497762203216553
4;1578387059.295935;1578387305.2646413;Model1484000;0;5.838043689727783;5.598764419555664;0.23927715420722961;0.29556000232696533;0.59765625;5.811466693878174;5.589537143707275;0.22192798554897308;0.30456000566482544;0.6505454778671265
5;1578387306.8601615;1578387552.4246454;Model1484000;0;5.836001873016357;5.597980976104736;0.23801963031291962;0.2964699864387512;0.6012727618217468;5.810796737670898;5.589109420776367;0.22168897092342377;0.30485999584198;0.6513447165489197
6;1578387554.1210804;1578387805.754499;Model1477000;0;5.830010890960693;5.594195365905762;0.2358170598745346;0.30000001192092896;0.6129016280174255;5.810158729553223;5.5886149406433105;0.22154733538627625;0.3054800033569336;0.6515744924545288
7;1578387807.4549987;1578388053.8289711;Model1477000;0;5.828639507293701;5.593474864959717;0.23516763746738434;0.3009600043296814;0.6146999001502991;5.809654712677002;5.588255405426025;0.22140270471572876;0.30581000447273254;0.652283787727356
8;1578388055.501016;1578388300.9643898;Model1477000;0;5.827622890472412;5.592992782592773;0.23462671041488647;0.3015199899673462;0.6160985231399536;5.809347629547119;5.587959289550781;0.22139102220535278;0.3061400055885315;0.6521339416503906
9;1578388302.0423777;1578388553.5373375;Model1482000;0;5.830336570739746;5.595571517944336;0.23476789891719818;0.29875001311302185;0.6162384152412415;5.808835983276367;5.587550163269043;0.22128742933273315;0.30643999576568604;0.6524436473846436
10;1578388555.1127105;1578388800.515486;Model1482000;0;5.829228401184082;5.594998359680176;0.23422762751579285;0.2992999851703644;0.6176870465278625;5.808565616607666;5.587220668792725;0.22134336829185486;0.3068599998950958;0.6519541144371033
11;1578388801.6638088;1578389046.9619968;Model1482000;0;5.828286647796631;5.594496726989746;0.23379234969615936;0.2999100089073181;0.6194553375244141;5.808454513549805;5.587083339691162;0.2213733196258545;0.3069800138473511;0.6520240306854248
12;1578389048.1995354;1578389300.5653155;Model1478000;0;5.833245754241943;5.596336364746094;0.23691201210021973;0.29809001088142395;0.6013926863670349;5.808450698852539;5.586796760559082;0.22165565192699432;0.3074199855327606;0.651464581489563
13;1578389301.7504418;1578389547.239889;Model1478000;0;5.83264684677124;5.595900535583496;0.23674729466438293;0.2985599935054779;0.6017822623252869;5.808309078216553;5.586538791656494;0.2217629998922348;0.3075299859046936;0.6513047218322754
14;1578389548.465916;1578389794.700698;Model1478000;0;5.832160949707031;5.595550537109375;0.2366081029176712;0.2989799976348877;0.6021919250488281;5.808310508728027;5.586409091949463;0.22190165519714355;0.30781999230384827;0.6511349081993103
15;1578389795.8481433;1578390047.7692566;Model1477000;100000;5.8263325691223145;5.592947006225586;0.2333848625421524;0.3013800084590912;0.6194153428077698;5.808077335357666;5.586231708526611;0.22184224426746368;0.30774998664855957;0.6515344977378845
16;1578390048.3931878;1578390295.3982344;Model1477000;100000;5.825741767883301;5.592496871948242;0.23325271904468536;0.30191001296043396;0.6197250485420227;5.8081135749816895;5.5861897468566895;0.2219259887933731;0.3077400028705597;0.6516444087028503
17;1578390296.1265845;1578390542.5356772;Model1477000;100000;5.825263977050781;5.592121124267578;0.23313972353935242;0.3021799921989441;0.6198949217796326;5.807976722717285;5.586038589477539;0.22193746268749237;0.30803000926971436;0.6514745950698853
18;1578390543.7118082;1578390795.1600866;Model1499000;0;5.80508279800415;5.583649635314941;0.22142945230007172;0.3105199933052063;0.6534526944160461;5.80733060836792;5.58564567565918;0.2216881811618805;0.30849000811576843;0.6519840955734253
19;1578390796.3963351;1578391042.541561;Model1499000;0;5.804112911224365;5.583009719848633;0.22110243141651154;0.3113200068473816;0.6539122462272644;5.806604862213135;5.585160732269287;0.22144202888011932;0.30893000960350037;0.6522738337516785
20;1578391043.685101;1578391290.5095437;Model1499000;0;5.803252220153809;5.582418441772461;0.22082455456256866;0.31189000606536865;0.654102087020874;5.806266784667969;5.585002899169922;0.22126422822475433;0.30910998582839966;0.6524436473846436
21;1578391291.6543674;1578391542.9039965;Model1475000;100000;5.837803363800049;5.5919623374938965;0.24584001302719116;0.3020299971103668;0.5606517791748047;5.806130886077881;5.584721565246582;0.22140738368034363;0.30952000617980957;0.6520140767097473
22;1578391544.0479307;1578391790.1134982;Model1475000;100000;5.836678504943848;5.591457843780518;0.2452201396226883;0.3026899993419647;0.5607916116714478;5.806266784667969;5.5846757888793945;0.22159357368946075;0.3095000088214874;0.6520839929580688
23;1578391790.9154358;1578392036.946726;Model1475000;100000;5.835748195648193;5.591056823730469;0.2446926087141037;0.3032599985599518;0.5609814524650574;5.806248664855957;5.584478378295898;0.22177231311798096;0.30970001220703125;0.6523237824440002
24;1578392038.1444905;1578392292.4676445;Model1479000;0;5.832814693450928;5.5932698249816895;0.23954623937606812;0.3010300099849701;0.5844589471817017;5.806673526763916;5.5845818519592285;0.2220926433801651;0.30941998958587646;0.6517742872238159
