epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy;validation_accuracy_value
0;1578066100.9370708;1578066493.712588;Model1485000;0;6.138505935668945;5.8882036209106445;0.25030162930488586;0.004800000227987766;0.5619028806686401;6.136908531188965;5.887897968292236;0.2490130513906479;0.0038300000596791506;0.5154850482940674
1;1578066494.547092;1578066873.0254853;Model1479000;0;6.132376194000244;5.8874287605285645;0.2449454963207245;0.004399999976158142;0.5751393437385559;6.121138572692871;5.886754512786865;0.2343871295452118;0.005270000081509352;0.6337472200393677
2;1578066873.7995248;1578067252.2640805;Model1481000;0;6.125022888183594;5.886037826538086;0.23898755013942719;0.00559999980032444;0.6104697585105896;6.12058162689209;5.885862827301025;0.23471276462078094;0.006279999855905771;0.6337571740150452
3;1578067253.0380359;1578067631.630679;Model1473000;0;6.131925582885742;5.886328220367432;0.24559661746025085;0.00570000009611249;0.5680732727050781;6.121133327484131;5.885553359985352;0.23558072745800018;0.006750000175088644;0.6336472034454346
0;1578123835.1222122;1578124224.4068856;Model1478000;0;6.124542236328125;5.883777618408203;0.24076306819915771;0.00839999970048666;0.6011146306991577;6.124286651611328;5.888644218444824;0.2356071025133133;0.004920000210404396;0.6336871981620789
1;1578124225.2048745;1578124611.9405494;Model1496000;0;6.126751899719238;5.885974884033203;0.24077728390693665;0.006899999920278788;0.5979299545288086;6.121136665344238;5.8887457847595215;0.2323891520500183;0.0035699999425560236;0.6337571740150452
2;1578124612.3472173;1578124998.28125;Model1494000;0;6.1312737464904785;5.885774612426758;0.24550019204616547;0.007000000216066837;0.5689689517021179;6.121944904327393;5.885295867919922;0.23664911091327667;0.007329999934881926;0.6337571740150452
3;1578124998.6831558;1578125384.4894907;Model1495000;0;6.124444484710693;5.884961128234863;0.2394798845052719;0.007400000002235174;0.6041003465652466;6.11811637878418;5.88617467880249;0.2319505661725998;0.0064199999906122684;0.6337571740150452
4;1578125384.495672;1578125770.4719114;Model1475000;0;6.132613658905029;5.884800434112549;0.24781402945518494;0.007600000128149986;0.5486664175987244;6.124441623687744;5.885217189788818;0.23921358585357666;0.007290000095963478;0.6321576833724976
5;1578125770.4779234;1578126154.120267;Model1484000;0;6.121872901916504;5.885022163391113;0.23685023188591003;0.007600000128149986;0.6177348494529724;6.117954254150391;5.8856201171875;0.23232968151569366;0.006899999920278788;0.6337571740150452
6;1578126154.1262357;1578126534.645202;Model1493000;0;6.127448558807373;5.885476589202881;0.24197010695934296;0.006500000134110451;0.590167224407196;6.118808269500732;5.88548469543457;0.23333343863487244;0.007120000198483467;0.6337571740150452
7;1578126534.6513193;1578126915.369726;Model1481000;0;6.12244176864624;5.884300708770752;0.23814091086387634;0.007699999958276749;0.609574019908905;6.117775917053223;5.885175704956055;0.23260653018951416;0.007369999773800373;0.6337571740150452
8;1578126915.775951;1578127296.9702592;Model1485000;0;6.12699031829834;5.884975910186768;0.24201498925685883;0.007400000002235174;0.5902667045593262;6.118936538696289;5.885029315948486;0.2339068353176117;0.007679999805986881;0.6337571740150452
9;1578127297.3633647;1578127677.9929743;Model1494000;10000;6.131669998168945;5.885543346405029;0.2461254596710205;0.007499999832361937;0.5632961988449097;6.121921062469482;5.884521961212158;0.23740088939666748;0.008249999955296516;0.6337571740150452
10;1578127678.3980896;1578128059.0546994;Model1497000;0;6.122718334197998;5.883653163909912;0.23906737565994263;0.009200000204145908;0.6050955653190613;6.116766929626465;5.885354042053223;0.23140285909175873;0.00686000008136034;0.6337571740150452
11;1578128059.0606906;1578128440.1895835;Model1476000;0;6.12035608291626;5.884487628936768;0.23587104678153992;0.00800000037997961;0.6195262670516968;6.117004871368408;5.885107517242432;0.23190440237522125;0.007670000195503235;0.6337571740150452
12;1578128440.1955662;1578128821.1666114;Model1487000;0;6.1316633224487305;5.8846964836120605;0.24696558713912964;0.008500000461935997;0.5548368096351624;6.122890472412109;5.88460636138916;0.23829340934753418;0.007910000160336494;0.6336871981620789
13;1578128821.1729877;1578129202.3668697;Model1493000;10000;6.125497341156006;5.884620666503906;0.24087505042552948;0.007899999618530273;0.597034215927124;6.116942405700684;5.883429050445557;0.2335192710161209;0.00953999999910593;0.6337571740150452
14;1578129202.758511;1578129583.0082233;Model1486000;0;6.124460220336914;5.884608745574951;0.23985135555267334;0.007799999788403511;0.599920392036438;6.116395950317383;5.883251190185547;0.23314937949180603;0.009619999676942825;0.6337571740150452
15;1578129583.401004;1578129964.0397432;Model1489000;0;6.129889488220215;5.883403301239014;0.24648530781269073;0.009800000116229057;0.5608081221580505;6.122142791748047;5.886354923248291;0.23579515516757965;0.006440000142902136;0.6337571740150452
16;1578129964.0459352;1578130345.1223662;Model1482000;0;6.117815971374512;5.882491111755371;0.23532605171203613;0.01080000028014183;0.6228104829788208;6.115232467651367;5.88315486907959;0.23206762969493866;0.009510000236332417;0.6337571740150452
17;1578130345.128485;1578130726.0181463;Model1475000;10000;6.134614944458008;5.884506702423096;0.25010740756988525;0.007600000128149986;0.5350318551063538;6.124965667724609;5.884403705596924;0.24055714905261993;0.008460000157356262;0.6337571740150452
18;1578130726.0242002;1578131106.8351872;Model1491000;0;6.129790782928467;5.883312225341797;0.24647857248783112;0.009600000455975533;0.5597133636474609;6.1197710037231445;5.88328218460083;0.23648549616336823;0.009680000133812428;0.6337571740150452
19;1578131107.2327805;1578131487.6505938;Model1499000;0;6.114474773406982;5.881900787353516;0.23257562518119812;0.01119999960064888;0.6332603693008423;6.113851547241211;5.8824567794799805;0.23139914870262146;0.010420000180602074;0.6337571740150452
20;1578131488.1296496;1578131869.2750323;Model1498000;0;6.121197700500488;5.884573936462402;0.23662543296813965;0.008200000040233135;0.6094745397567749;6.114477634429932;5.88288688659668;0.23159612715244293;0.009940000250935555;0.6326475739479065
21;1578131869.2810578;1578132250.0722027;Model1497000;10000;6.118228435516357;5.882326602935791;0.23590007424354553;0.010700000450015068;0.6103702187538147;6.1128339767456055;5.88218879699707;0.23064756393432617;0.010470000095665455;0.6330774426460266
22;1578132250.4658053;1578132631.4960701;Model1498000;10000;6.117441654205322;5.8823113441467285;0.23513050377368927;0.010700000450015068;0.6082802414894104;6.112430095672607;5.882095813751221;0.23032806813716888;0.010470000095665455;0.6335572600364685
23;1578132631.502173;1578133012.2459946;Model1496000;10000;6.122086524963379;5.882611274719238;0.23947612941265106;0.010400000028312206;0.6019108295440674;6.1128668785095215;5.881946563720703;0.23091809451580048;0.01131999958306551;0.6337571740150452
24;1578133012.6322067;1578133393.2101817;Model1481000;10000;6.11973762512207;5.882078170776367;0.23766006529331207;0.010900000110268593;0.6116639971733093;6.113383769989014;5.881687641143799;0.23170046508312225;0.011389999650418758;0.6337571740150452
25;1578133393.6092405;1578133774.7773426;Model1487000;10000;6.127717971801758;5.8812055587768555;0.2465127408504486;0.011800000444054604;0.5624004602432251;6.117539882659912;5.882052898406982;0.2354857325553894;0.010830000042915344;0.6337571740150452
26;1578133774.7832937;1578134155.6247964;Model1484000;10000;6.1199541091918945;5.882716655731201;0.23723988234996796;0.01080000028014183;0.6147491931915283;6.113792896270752;5.881739139556885;0.2320488840341568;0.011479999870061874;0.6337571740150452
27;1578134156.0187178;1578134536.748468;Model1493000;20000;6.125631332397461;5.883207321166992;0.24242398142814636;0.010099999606609344;0.5876791477203369;6.11815071105957;5.8835930824279785;0.2345564067363739;0.009239999577403069;0.6337571740150452
28;1578134536.75478;1578134917.4399815;Model1486000;10000;6.122121810913086;5.882626056671143;0.23949643969535828;0.009600000455975533;0.6028065085411072;6.114877700805664;5.882290363311768;0.23258498311042786;0.01071999967098236;0.6337571740150452
29;1578134917.4459305;1578135298.0231996;Model1494000;20000;6.128111839294434;5.883082389831543;0.24502956867218018;0.010200000368058681;0.5722531676292419;6.115840435028076;5.881215572357178;0.2346336841583252;0.011590000241994858;0.6337571740150452
