epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy
0;1577380938.6322417;1577381180.9147263;Model1476000;0;6.157319068908691;5.889106750488281;0.2682194709777832;0.004139999859035015;6.1295037269592285;5.8895440101623535;0.2399594634771347;0.003289999905973673
1;1577381180.9215035;1577381406.2121212;Model1481000;0;6.13171911239624;5.888138771057129;0.24358217418193817;0.005059999879449606;6.12620210647583;5.886488914489746;0.2397104799747467;0.006370000075548887
2;1577381406.216513;1577381630.8213475;Model1496000;0;6.122608661651611;5.887161731719971;0.23544524610042572;0.005859999917447567;6.118093013763428;5.889054775238037;0.22903883457183838;0.0033599999733269215
3;1577381630.826551;1577381855.2429307;Model1479000;0;6.1236443519592285;5.887153625488281;0.23648373782634735;0.005969999823719263;6.118959426879883;5.887163162231445;0.23179107904434204;0.0059899999760091305
4;1577381855.2473576;1577382078.165531;Model1497000;0;6.111310005187988;5.885577201843262;0.22574180364608765;0.007309999782592058;6.117459297180176;5.884550094604492;0.23290900886058807;0.00925000011920929
5;1577382078.1704202;1577382303.5776055;Model1495000;0;6.115640640258789;5.885937213897705;0.22969679534435272;0.007209999952465296;6.122513294219971;5.883823394775391;0.238692507147789;0.009270000271499157
6;1577382303.5829978;1577382527.343519;Model1495000;100000;6.102523326873779;5.884564399719238;0.21798110008239746;0.008960000239312649;6.132158279418945;5.882494926452637;0.24967850744724274;0.011060000397264957
7;1577382527.3482902;1577382751.9453444;Model1490000;0;6.117564678192139;5.883813858032227;0.2337649017572403;0.009789999574422836;6.116519451141357;5.8792724609375;0.23728127777576447;0.014299999922513962
8;1577382751.9512975;1577382976.4521978;Model1498000;0;6.101466178894043;5.876709461212158;0.22478902339935303;0.016850000247359276;6.104393005371094;5.874349117279053;0.23006489872932434;0.019689999520778656
9;1577382976.4581635;1577383198.4269116;Model1469000;0;6.095622539520264;5.87150239944458;0.2241254448890686;0.022120000794529915;6.094660758972168;5.867609024047852;0.22705788910388947;0.025709999725222588
10;1577383198.4324374;1577383419.7054586;Model1468000;0;6.082399368286133;5.86573600769043;0.21666082739830017;0.027710000053048134;6.095447063446045;5.8622660636901855;0.23321299254894257;0.031199999153614044
11;1577383419.710155;1577383640.8677218;Model1474000;0;6.086450576782227;5.862873077392578;0.22358538210391998;0.030710000544786453;6.0818986892700195;5.85319185256958;0.22870242595672607;0.040460001677274704
12;1577383640.8737931;1577383861.5996761;Model1472000;0;6.07914400100708;5.851868152618408;0.2272995114326477;0.04193999990820885;6.079778671264648;5.851203441619873;0.22858025133609772;0.042330000549554825
13;1577383861.6050198;1577384082.2493455;Model1466000;0;6.073973655700684;5.8459272384643555;0.22806282341480255;0.04766000062227249;6.069724082946777;5.843438148498535;0.22630904614925385;0.05025000125169754
14;1577384082.2545416;1577384303.8045933;Model1485000;0;6.088649272918701;5.852808475494385;0.23585249483585358;0.040780000388622284;6.075863361358643;5.841567039489746;0.23430763185024261;0.051989998668432236
15;1577384303.8096783;1577384524.847702;Model1490000;100000;6.083119869232178;5.848677158355713;0.23446926474571228;0.0449800007045269;6.069589138031006;5.839837551116943;0.2297801375389099;0.053700000047683716
16;1577384524.8522675;1577384749.2937152;Model1468000;100000;6.055761337280273;5.837960720062256;0.2178238481283188;0.055709999054670334;6.0641069412231445;5.835522174835205;0.22859899699687958;0.05834000185132027
17;1577384749.2986941;1577384970.551898;Model1470000;0;6.064640045166016;5.836802959442139;0.22785453498363495;0.05693000182509422;6.062942981719971;5.833763599395752;0.22919681668281555;0.060029998421669006
18;1577384970.5572882;1577385191.7059624;Model1473000;0;6.074915409088135;5.8401384353637695;0.23480528593063354;0.053530000150203705;6.068130016326904;5.835605621337891;0.23252713680267334;0.05843000113964081
19;1577385191.7111325;1577385412.6286707;Model1482000;0;6.0700201988220215;5.842621803283691;0.22741080820560455;0.05104999989271164;6.069548606872559;5.837645530700684;0.23190200328826904;0.05607999861240387
20;1577385412.6337261;1577385633.9333453;Model1491000;0;6.078366756439209;5.838717937469482;0.23965924978256226;0.05483999848365784;6.073103427886963;5.840028762817383;0.23308558762073517;0.05355000123381615
21;1577385633.9378133;1577385855.0877566;Model1487000;0;6.0754313468933105;5.838415622711182;0.2370288372039795;0.05511999875307083;6.068258762359619;5.835025787353516;0.2332398146390915;0.058479998260736465
22;1577385855.0922148;1577386076.1800418;Model1471000;0;6.0681562423706055;5.834151268005371;0.2340286821126938;0.05950000137090683;6.059265613555908;5.829575061798096;0.22971078753471375;0.06403999775648117
23;1577386076.1849084;1577386296.5342178;Model1471000;100000;6.05836820602417;5.830016136169434;0.2283622920513153;0.06345999985933304;6.067049980163574;5.830071449279785;0.2369968742132187;0.06346999853849411
